"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bent Over Row (Barbell)",,"",4,"normal",75,8,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Pull Up",0,"",0,"normal",,15,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Pull Up",0,"",1,"normal",,10,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Shoulder Press (Dumbbell)",0,"",0,"normal",50,9,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Shoulder Press (Dumbbell)",0,"",1,"normal",50,8,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Face Pull",,"",0,"normal",75,15,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Face Pull",,"",1,"normal",75,15,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Cross Body Hammer Curl",1,"",0,"normal",30,13,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Cross Body Hammer Curl",1,"",1,"normal",30,12,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Overhead Triceps Extension (Cable)",1,"",0,"normal",35,12,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Overhead Triceps Extension (Cable)",1,"",1,"normal",40,10,,,
"Amuse Labs Sports Day","1 Jul 2026, 12:02","1 Jul 2026, 13:02","","Swimming",,"",0,"normal",,,0.9,3240,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bench Press (Barbell)",,"",0,"normal",57.5,3,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bench Press (Barbell)",,"",1,"normal",57.5,3,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bench Press (Barbell)",,"",2,"normal",57.5,3,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bench Press (Barbell)",,"",3,"normal",77.5,6,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bench Press (Barbell)",,"",4,"normal",77.5,6,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bench Press (Barbell)",,"",5,"normal",77.5,5,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",75,12,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",75,13,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",75,13,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Seated Cable Row - V Grip (Cable)",,"",3,"normal",75,13,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Pull Up",0,"",0,"normal",,14,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Pull Up",0,"",1,"normal",,8,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Shoulder Press (Dumbbell)",0,"",0,"normal",50,8,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Shoulder Press (Dumbbell)",0,"",1,"normal",50,6,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bicep Curl (Dumbbell)",1,"",0,"normal",30,12,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Bicep Curl (Dumbbell)",1,"",1,"normal",30,12,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Overhead Triceps Extension (Cable)",1,"",0,"normal",35,11,,,
"Tuesday (Upper)","30 Jun 2026, 19:46","30 Jun 2026, 20:44","","Overhead Triceps Extension (Cable)",1,"",1,"normal",35,12,,,
"Monday Cycling","29 Jun 2026, 19:30","29 Jun 2026, 20:15","","Cycling",,"",0,"normal",,,20,2700,
